10,10,0.0002548695
20,20,0.0091469288
30,30,0.0044341087
40,40,0.0016260147
50,50,0.0023338795
60,60,0.0038371086
70,70,0.0169210434
80,80,0.0075750351
90,90,0.0129160881
100,100,0.0176138878
110,110,0.0256731510
120,120,0.0358071327
130,130,0.0415389538
140,140,0.0533249378
150,150,0.0715699196
160,160,0.0852069855
170,170,0.1089220047
180,180,0.1603891850
190,190,0.1705670357
200,200,0.2038431168
210,210,0.2509989738
220,220,0.2548749447
230,230,0.3032760620
240,240,0.3863739967
250,250,0.4272620678
260,260,0.4833838940
270,270,0.5733079910
280,280,0.6234469414
290,290,0.7250800133
300,300,0.8690741062
310,310,0.9185760021
320,320,1.0812580585
330,330,1.1520891190
340,340,1.3465068340
350,350,1.4826378822
360,360,1.5947811604
370,370,1.7800610065
380,380,2.0167651176
390,390,2.1559190750
400,400,2.4060559273
410,410,2.6765358448
420,420,2.8878431320
430,430,3.0799748898
440,440,3.3602108955
450,450,3.7195560932
460,460,4.0543830395
470,470,4.3902919292
480,480,4.6441628933
490,490,5.0604979992
500,500,5.4651949406
